timestamp, bears, fish
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,40
Sun Feb 14 01:04:36 2016,5,40
Sun Feb 14 01:04:36 2016,5,40
Sun Feb 14 01:04:36 2016,5,40
Sun Feb 14 01:04:36 2016,5,40
Sun Feb 14 01:04:36 2016,5,40
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,40
Sun Feb 14 01:04:36 2016,5,40
Sun Feb 14 01:04:36 2016,5,40
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,41
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,42
Sun Feb 14 01:04:36 2016,5,43
Sun Feb 14 01:04:36 2016,5,43
Sun Feb 14 01:04:36 2016,5,43
Sun Feb 14 01:04:36 2016,5,44
Sun Feb 14 01:04:36 2016,5,44
Sun Feb 14 01:04:36 2016,5,45
Sun Feb 14 01:04:36 2016,5,44
